dataset,instance_id,s,p,o,s_local,p_local,o_local,score,proposal_reason,evidence
Academic,pos_3,http://www.example.com/ontologies/myontology#57191379322,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7003551395,57191379322,hasLink,7003551395,0.922417099618086,high_embedding_similarity,Sharma A. || Setzer W.N. || Probing into therapeutic anti-cancer potential of apigenin: Recent trends and future directions
Academic,pos_80,http://www.example.com/ontologies/myontology#56036676100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#24767226700,56036676100,hasLink,24767226700,0.7971817730161561,high_embedding_similarity,Tobin R. || Sanderson R. || Scholarly context not found: One in five articles suffers from reference rot
Academic,pos_87,http://www.example.com/ontologies/myontology#35389581400,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55552839600,35389581400,hasLink,55552839600,0.8667775392515011,high_embedding_similarity,Rodriguez-Gil J.L. || Brockmeier E.K. || A guide for using social media in environmental science and a case study by the Students of SETAC
Academic,pos_87,http://www.example.com/ontologies/myontology#55552839600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#35389581400,55552839600,hasLink,35389581400,0.8667775392515011,high_embedding_similarity,Rodriguez-Gil J.L. || Brockmeier E.K. || A guide for using social media in environmental science and a case study by the Students of SETAC
Academic,pos_88,http://www.example.com/ontologies/myontology#48662601000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56884159000,48662601000,hasLink,56884159000,0.7999641895278189,high_embedding_similarity,Tonin P. || Pignataro L.M. || Data on a new neurorehabilitation approach targeting functional recovery in stroke patients
Academic,pos_88,http://www.example.com/ontologies/myontology#56884159000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#48662601000,56884159000,hasLink,48662601000,0.7999641895278189,high_embedding_similarity,Tonin P. || Pignataro L.M. || Data on a new neurorehabilitation approach targeting functional recovery in stroke patients
Academic,pos_91,http://www.example.com/ontologies/myontology#16418058700,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6603724550,16418058700,hasLink,6603724550,0.8684109449369227,high_embedding_similarity,"Pandey T. || Lall C. || Productivity, part 1: Getting things done, using E-mail, scanners, reference managers, note-taking applications, and text expanders"
Academic,pos_91,http://www.example.com/ontologies/myontology#6603724550,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#16418058700,6603724550,hasLink,16418058700,0.8684109449369227,high_embedding_similarity,"Pandey T. || Lall C. || Productivity, part 1: Getting things done, using E-mail, scanners, reference managers, note-taking applications, and text expanders"
Academic,pos_94,http://www.example.com/ontologies/myontology#55788505100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#57210461091,55788505100,hasLink,57210461091,0.9186990212600347,high_embedding_similarity,Premkumar A. || Duncan L.G. || Reproductive (in)justice-two patients with avoidable poor reproductive outcomes
Academic,pos_94,http://www.example.com/ontologies/myontology#57210461091,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55788505100,57210461091,hasLink,55788505100,0.9186990212600347,high_embedding_similarity,Premkumar A. || Duncan L.G. || Reproductive (in)justice-two patients with avoidable poor reproductive outcomes
Academic,pos_99,http://www.example.com/ontologies/myontology#16039906500,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#6507133031,16039906500,relatedTo,6507133031,0.7955572036239907,shared_affiliation,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_99,http://www.example.com/ontologies/myontology#16039906500,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6507133031,16039906500,hasLink,6507133031,0.9111440724798142,high_embedding_similarity,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_99,http://www.example.com/ontologies/myontology#6507133031,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#16039906500,6507133031,hasLink,16039906500,0.9111440724798142,high_embedding_similarity,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_107,http://www.co-ode.org/ontologies/ont.owl#Co12814,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7405517656,Co12814,hasLink,7405517656,0.6618898309390319,high_embedding_similarity,"Yamamoto Y. || A degenerate optical parametric oscillator network for coherent computation || Council for Science Technology and Innovation, Tokyo, Japan"
Academic,pos_107,http://www.example.com/ontologies/myontology#7405517656,http://www.example.com/ontologies/myontology#hasLink,http://www.co-ode.org/ontologies/ont.owl#Co12814,7405517656,hasLink,Co12814,0.6618898309390319,high_embedding_similarity,"Yamamoto Y. || A degenerate optical parametric oscillator network for coherent computation || Council for Science Technology and Innovation, Tokyo, Japan"
Academic,pos_118,http://www.example.com/ontologies/myontology#7006041807,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#7202573171,7006041807,relatedTo,7202573171,0.7820482432841613,shared_affiliation,"Guarente L. || Turner N. || Erratum: Impairment of an Endothelial NAD+-H2S Signaling Network Is a Reversible Cause of Vascular Aging (Cell (2018) 173(1) (74–89.e20), (S0092867418301521) (10.1016/j.cell.2018.02.008))"
Academic,pos_131,http://www.example.com/ontologies/myontology#56182094600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56916069100,56182094600,hasLink,56916069100,0.764516262468208,high_embedding_similarity,Mai E.K. || Jarari L. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_131,http://www.example.com/ontologies/myontology#56916069100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56182094600,56916069100,hasLink,56182094600,0.764516262468208,high_embedding_similarity,Mai E.K. || Jarari L. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_132,http://www.example.com/ontologies/myontology#55344312200,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#55577540200,55344312200,relatedTo,55577540200,0.7855127900838141,shared_affiliation,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_132,http://www.example.com/ontologies/myontology#55344312200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55577540200,55344312200,hasLink,55577540200,0.7102558016762832,high_embedding_similarity,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_132,http://www.example.com/ontologies/myontology#55577540200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55344312200,55577540200,hasLink,55344312200,0.7102558016762832,high_embedding_similarity,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_142,http://www.example.com/ontologies/myontology#56381410900,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#9638199200,56381410900,hasLink,9638199200,0.8445569184141504,high_embedding_similarity,Settineri N. || Gianello L. || Facial basal cell carcinomas in elderly frail patients treated with low total-dose radiotherapy
Academic,pos_142,http://www.example.com/ontologies/myontology#9638199200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56381410900,9638199200,hasLink,56381410900,0.8445569184141504,high_embedding_similarity,Settineri N. || Gianello L. || Facial basal cell carcinomas in elderly frail patients treated with low total-dose radiotherapy
Academic,pos_146,http://www.example.com/ontologies/myontology#26040632900,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7005176426,26040632900,hasLink,7005176426,0.8922532136573359,high_embedding_similarity,Denaro N. || Girolomoni G. || Acute skin toxicity management in head and neck cancer patients treated with radiotherapy and chemotherapy or EGFR inhibitors: Literature review and consensus
Academic,pos_146,http://www.example.com/ontologies/myontology#7005176426,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#26040632900,7005176426,hasLink,26040632900,0.8922532136573359,high_embedding_similarity,Denaro N. || Girolomoni G. || Acute skin toxicity management in head and neck cancer patients treated with radiotherapy and chemotherapy or EGFR inhibitors: Literature review and consensus
